item_id,source,migration_status,scene_types,prediction_available,lessons,levels,medium_primary_question_locations
coding.after-line-two,content/curriculum/items/code-after-line-two.lumi,restore playback,maze,true,coding-one-step-at-a-time,easy; hard; medium,coding-one-step-at-a-time#q2; coding-one-step-at-a-time#q3
coding.bug-bump-line,content/curriculum/items/code-g4-bug-bump-line.lumi,restore playback,maze,true,coding-debugging-puzzles,easy; hard; medium,coding-debugging-puzzles#q2
coding.bug-count-fix,content/curriculum/items/code-g4-bug-count-fix.lumi,restore playback,turtle,true,coding-debugging-puzzles,easy; hard; medium,coding-debugging-puzzles#q5
coding.bug-dance-missing,content/curriculum/items/code-g4-bug-dance-missing.lumi,restore playback,dance,false,coding-debugging-puzzles,easy; hard; medium,coding-debugging-puzzles#q3
coding.bug-direction,content/curriculum/items/code-bug-direction.lumi,restore playback,turtle,true,coding-debugging-puzzles,easy; hard; medium,coding-debugging-puzzles#q9
coding.bug-hidden,content/curriculum/items/code-g1-bug-hidden.lumi,restore playback,maze,true,coding-one-card-is-wrong,easy; hard; medium,coding-one-card-is-wrong#q9
coding.bug-inside,content/curriculum/items/code-g4-bug-inside.lumi,extend existing build UI,turtle,false,coding-debugging-puzzles,easy; hard; medium,coding-debugging-puzzles#q8
coding.bug-nested-square,content/curriculum/items/code-g4-bug-nested-square.lumi,restore playback,turtle,true,coding-debugging-puzzles,easy; hard; medium,coding-debugging-puzzles#q4
coding.bug-repeat,content/curriculum/items/code-bug-repeat.lumi,static in prototype; no interaction to port,,false,coding-debugging-puzzles,easy; hard; medium,coding-debugging-puzzles#q1
coding.bug-sides,content/curriculum/items/code-bug-sides.lumi,restore playback,turtle,true,coding-finding-the-mistake,easy; hard; medium,coding-finding-the-mistake#q6
coding.bug-which-input,content/curriculum/items/code-g4-bug-which-input.lumi,restore playback,fork,false,coding-debugging-puzzles,easy; hard; medium,coding-debugging-puzzles#q7
coding.bug-wrong-turn,content/curriculum/items/code-g4-bug-wrong-turn.lumi,restore playback,turtle,true,coding-debugging-puzzles,easy; hard; medium,coding-debugging-puzzles#q6
coding.build-arrows,content/curriculum/items/code-build-arrows.lumi,extend existing build UI,maze,false,coding-arrows-to-the-gem,easy; hard; medium,coding-arrows-to-the-gem#q7; coding-arrows-to-the-gem#q8
coding.build-face-away,content/curriculum/items/code-g2-build-face-away.lumi,extend existing build UI,maze,false,coding-turning-as-well,easy; hard; medium,coding-turning-as-well#q10
coding.build-for-someone,content/curriculum/items/code-build-for-someone.lumi,extend existing build UI,turtle,false,coding-writing-for-someone-else,easy; hard; medium,coding-writing-for-someone-else#q8
coding.build-rectangle,content/curriculum/items/code-build-rectangle.lumi,extend existing build UI,turtle,false,coding-square-rectangle-staircase,easy; hard; medium,coding-square-rectangle-staircase#q8
coding.build-repeat,content/curriculum/items/code-build-repeat.lumi,extend existing build UI,maze,false,coding-doing-it-again,easy; hard; medium,coding-doing-it-again#q8
coding.build-shorter,content/curriculum/items/code-g2-build-shorter.lumi,extend existing build UI,maze,false,coding-finding-the-mistake,easy; hard; medium,coding-finding-the-mistake#q10
coding.build-square,content/curriculum/items/code-build-square.lumi,extend existing build UI,turtle,false,coding-drawing-with-a-program,easy; hard; medium,coding-drawing-with-a-program#q8
coding.build-steps-then,content/curriculum/items/code-g2-build-steps-then.lumi,extend existing build UI,maze,false,coding-doing-it-again,easy; hard; medium,coding-doing-it-again#q10
coding.build-turns,content/curriculum/items/code-build-turns.lumi,extend existing build UI,maze,false,coding-turning-as-well,easy; hard; medium,coding-turning-as-well#q8
coding.build-until,content/curriculum/items/code-build-until.lumi,extend existing build UI,maze,false,coding-keep-going-until,easy; hard; medium,coding-keep-going-until#q8
coding.build-wall-follower,content/curriculum/items/code-g3-build-wall-follower.lumi,extend existing build UI,maze,false,coding-feeling-for-walls,easy; hard; medium,coding-feeling-for-walls#q10
coding.bump-card,content/curriculum/items/code-g1-bump-card.lumi,restore playback,maze,true,coding-one-card-is-wrong,easy; hard; medium,coding-one-card-is-wrong#q1; coding-one-card-is-wrong#q2
coding.bump-which-block,content/curriculum/items/code-g2-bump-which-block.lumi,restore playback,maze,true,coding-finding-the-mistake,easy; hard; medium,coding-finding-the-mistake#q1; coding-finding-the-mistake#q2
coding.cards-for-ada,content/curriculum/items/code-g4-cards-for-ada.lumi,extend existing build UI,turtle,false,coding-writing-for-someone-else,easy; hard; medium,coding-writing-for-someone-else#q1; coding-writing-for-someone-else#q2
coding.clap-count,content/curriculum/items/code-g3-clap-count.lumi,static in prototype; no interaction to port,,false,coding-a-program-that-decides,easy; hard; medium,coding-a-program-that-decides#q7
coding.clockwork-towers,content/curriculum/items/code-clockwork-towers.lumi,static in prototype; no interaction to port,,false,coding-a-block-with-a-number,easy; hard; medium,coding-a-block-with-a-number#q8
coding.cups-cross-count,content/curriculum/items/code-g3-cups-cross-count.lumi,restore hands-on controls,cups,false,coding-fewest-lifts,easy; hard; medium,coding-fewest-lifts#q3; coding-fewest-lifts#q4
coding.cups-half,content/curriculum/items/code-cups-half.lumi,restore hands-on controls,cups,false,coding-fewest-lifts,easy; hard; medium,coding-fewest-lifts#q1; coding-fewest-lifts#q2
coding.cups-lifts,content/curriculum/items/code-cups-lifts.lumi,restore hands-on controls,cups,false,coding-fewest-lifts,easy; hard; medium,coding-fewest-lifts#q5; coding-fewest-lifts#q6
coding.cups-next,content/curriculum/items/code-g3-cups-next.lumi,restore hands-on controls,cups,false,coding-fewest-lifts,easy; hard; medium,coding-fewest-lifts#q7; coding-fewest-lifts#q8
coding.dance-all-ways,content/curriculum/items/code-g2-dance-all-ways.lumi,static in prototype; no interaction to port,,false,coding-a-dance-in-a-loop,easy; hard; medium,coding-a-dance-in-a-loop#q10
coding.dance-claps-blocks,content/curriculum/items/code-g2-dance-claps-blocks.lumi,static in prototype; no interaction to port,,false,coding-a-dance-in-a-loop,easy; hard; medium,coding-a-dance-in-a-loop#q3; coding-a-dance-in-a-loop#q4
coding.dance-count,content/curriculum/items/code-dance-count.lumi,restore playback,dance,false,coding-a-dance-in-a-loop,easy; hard; medium,coding-a-dance-in-a-loop#q1
coding.dance-frame-of,content/curriculum/items/code-g2-dance-frame-of.lumi,static in prototype; no interaction to port,,false,coding-a-dance-in-a-loop,easy; hard; medium,coding-a-dance-in-a-loop#q5; coding-a-dance-in-a-loop#q6
coding.dance-missing,content/curriculum/items/code-dance-missing.lumi,restore playback,dance,false,coding-a-dance-in-a-loop,easy; hard; medium,coding-a-dance-in-a-loop#q2
coding.dance-order,content/curriculum/items/code-g1-dance-order.lumi,restore playback,dance,false,coding-saying-it-in-order,easy; hard; medium,coding-saying-it-in-order#q3; coding-saying-it-in-order#q6
coding.dance-repeat-count,content/curriculum/items/code-g2-dance-repeat-count.lumi,static in prototype; no interaction to port,,false,coding-a-dance-in-a-loop,easy; hard; medium,coding-a-dance-in-a-loop#q7; coding-a-dance-in-a-loop#q8
coding.dance-which-program,content/curriculum/items/code-g2-dance-which-program.lumi,restore playback,dance,false,coding-a-dance-in-a-loop,easy; hard; medium,coding-a-dance-in-a-loop#q9
coding.decision,content/curriculum/items/code-decision.lumi,restore playback,fork,false,coding-a-program-that-decides,easy; hard; medium,coding-a-program-that-decides#q2
coding.decision-count,content/curriculum/items/code-decision-count.lumi,static in prototype; no interaction to port,,false,coding-a-program-that-decides,easy; hard; medium,coding-a-program-that-decides#q8
coding.decision-threshold,content/curriculum/items/code-g3-decision-threshold.lumi,static in prototype; no interaction to port,,false,coding-a-program-that-decides,easy; hard; medium,coding-a-program-that-decides#q3; coding-a-program-that-decides#q5
coding.define-change,content/curriculum/items/code-g4-define-change.lumi,static in prototype; no interaction to port,,false,coding-a-block-of-your-own,easy; hard; medium,coding-a-block-of-your-own#q9
coding.define-count,content/curriculum/items/code-define-count.lumi,static in prototype; no interaction to port,,false,coding-a-block-of-your-own,easy; hard; medium,coding-a-block-of-your-own#q1
